branchname,"""COLLECTION CODE""",TOTAL ITEMS,ADULT ITEMS,YOUNG ADULT ITEMS,JUVENILE ITEMS,TOTAL ADDED LM,ADULT ADDED LM,YOUNG ADULT ADDED LM,JUVENILE ADDED LM,TOTAL DELETED LM,ADULT DELETED LM,YOUNG ADULT DELETED LM,JUVENILE DELETED LM
Basehor Community Library,On Display,,,,,,,,,,,,
Basehor Community Library,Online Resource,,,,,,,,,,,,
Basehor Community Library,Oversize,,,,,,,,,,,,
Basehor Community Library,Paperback,,,,,,,,,,,,
Basehor Community Library,Parenting,,,,,,,,,,,,
Basehor Community Library,Periodical - Comic books,,,,,,,,,,,,
Basehor Community Library,Picture Book,6663,,3,6660,10,,,10,2,,,
Basehor Community Library,Professional Collection,1,1,,,,,,,,,,
Basehor Community Library,Public Computer,1,1,,,,,,,,,,
Basehor Community Library,Puzzles & Board Games,31,30,,1,1,1,,,1,,,
Basehor Community Library,Read and listen - easy reader,,,,,,,,,,,,
Basehor Community Library,Read and listen - fiction,3,,,3,,,,,,,,
Basehor Community Library,Read and listen - non-fiction,2,,,2,,,,,,,,
Basehor Community Library,Read and listen - picture book,97,,,97,,,,,1,,,
Basehor Community Library,Record player,,,,,,,,,,,,
Basehor Community Library,Recreation : athletic / sports equipment,,,,,,,,,,,,
Basehor Community Library,Recreation : basketball equipment,,,,,,,,,,,,
Basehor Community Library,Recreation : fishing equipment,,,,,,,,,,,,
Basehor Community Library,Recreation : football equipment,,,,,,,,,,,,
Basehor Community Library,Recreation : softball / baseball equipment,,,,,,,,,,,,
Basehor Community Library,Recreation : tennis equipment,,,,,,,,,,,,
Basehor Community Library,Reference,,,,,,,,,,,,
Basehor Community Library,Romance,,,,,,,,,,,,
Basehor Community Library,Sci Fi-Fantasy,,,,,,,,,,,,
Basehor Community Library,Software,,,,,,,,,,,,
Basehor Community Library,Spanish,,,,,,,,,,,,
Basehor Community Library,Special collection - Dyslexic and Autistic Reading Engagement,,,,,,,,,,,,
Basehor Community Library,Sports & Recreation,,,,,,,,,,,,
Basehor Community Library,VG-Gameboy,,,,,,,,,,,,
Basehor Community Library,VG-Nintendo 3DS,,,,,,,,,,,,
Basehor Community Library,VG-Nintendo DS,,,,,,,,,,,,
Basehor Community Library,VG-Nintendo Gamecube,,,,,,,,,,,,
Basehor Community Library,VG-Nintendo Switch,102,2,29,71,,,,,,,,
Basehor Community Library,VG-Nintendo Wii,90,,12,78,,,,,,,,
Basehor Community Library,VG-Nintendo Wii U,7,,3,4,,,,,,,,
Basehor Community Library,VG-PlayStation 2 (PS2),,,,,,,,,,,,
Basehor Community Library,VG-PlayStation 3 (PS3),4,1,2,1,,,,,,,,
Basehor Community Library,VG-PlayStation 4 (PS4),41,3,26,12,,,,,,,,
Basehor Community Library,VG-PlayStation 5 (PS5),,,,,,,,,,,,
Basehor Community Library,VG-PlayStation Portable (PSP),,,,,,,,,,,,
Basehor Community Library,VG--Videogame,1,,1,,,,,,,,,
Basehor Community Library,VG-XBox,,,,,,,,,,,,
Basehor Community Library,VG-XBox 360,27,,19,8,,,,,,,,
Basehor Community Library,VG-XBox One,25,,19,6,,,,,,,,
Basehor Community Library,VG-XBox X,,,,,,,,,,,,
Basehor Community Library,Video (Blu-ray),321,320,1,,4,4,,,,,,
Basehor Community Library,Video (Blu-ray/DVD combined edition),158,137,13,8,,,,,1,,,
Basehor Community Library,Video (DVD),6106,5202,17,887,13,13,,,7,1,,
Basehor Community Library,Video (media player),,,,,,,,,,,,
Basehor Community Library,Video (VHS cassette),,,,,,,,,,,,
Basehor Community Library,Video-TV series (Blu-ray),21,17,4,,,,,,,,,
Basehor Community Library,Video-TV series (Blu-ray/DVD combined edition),9,3,6,,,,,,,,,
Basehor Community Library,Video-TV series (DVD),1239,1213,12,14,6,6,,,2,,,
Basehor Community Library,Video-TV series (media player),,,,,,,,,,,,
