added,ccode,homebranch,location
37,MAGAZINE,NORTONVLLE,ADULT
1,MAGAZINE,NORTONVLLE,CHILDRENS
7,MAGAZINE,NORTONVLLE,YOUNGADULT
17,NONFICTION,NORTONVLLE,ADULT
5,NONFICTION,NORTONVLLE,CHILDRENS
3,NONFICTION,NORTONVLLE,YOUNGADULT
4,PARENTING,NORTONVLLE,ADULT
1,READER,NORTONVLLE,CHILDRENS
21,ROMANCE,NORTONVLLE,ADULT
3,SF-FANT,NORTONVLLE,ADULT
3,WESTERN,NORTONVLLE,ADULT

12,,OSAGECITY,
5,BOOKONCD,OSAGECITY,ADULT
15,DVD,OSAGECITY,ADULT
2,DVD,OSAGECITY,YOUNGADULT
15,EASY,OSAGECITY,CHILDRENS
35,FICTION,OSAGECITY,ADULT
15,FICTION,OSAGECITY,CHILDRENS
13,FICTION,OSAGECITY,YOUNGADULT
9,GRAPHIC,OSAGECITY,CHILDRENS
20,LARGEPRINT,OSAGECITY,ADULT
36,MAGAZINE,OSAGECITY,ADULT
1,MAGAZINE,OSAGECITY,CHILDRENS
2,MAGAZINE,OSAGECITY,YOUNGADULT
1,MUSIC,OSAGECITY,ADULT
19,NONFICTION,OSAGECITY,ADULT
13,NONFICTION,OSAGECITY,CHILDRENS
1,NONFICTION,OSAGECITY,YOUNGADULT
12,PAPERBACK,OSAGECITY,ADULT
14,READER,OSAGECITY,CHILDRENS

1,BIOGRAPHY,OSAWATOMIE,ADULT
1,BOOKONCD,OSAWATOMIE,ADULT
5,DISPLAY,OSAWATOMIE,ADULT
12,DVD,OSAWATOMIE,ADULT
28,FICTION,OSAWATOMIE,ADULT
13,FICTION,OSAWATOMIE,CHILDRENS
5,FICTION,OSAWATOMIE,YOUNGADULT
1,GRAPHIC,OSAWATOMIE,CHILDRENS
17,MYSTERY,OSAWATOMIE,ADULT
26,NONFICTION,OSAWATOMIE,ADULT
26,NONFICTION,OSAWATOMIE,CHILDRENS
18,READER,OSAWATOMIE,CHILDRENS
3,SF-FANT,OSAWATOMIE,ADULT
1,WESTERN,OSAWATOMIE,ADULT
1,BOARDBK,OSKALOOSA,CHILDRENS

8,BOOKONCD,OSKALOOSA,ADULT
32,EASY,OSKALOOSA,CHILDRENS
28,FICTION,OSKALOOSA,ADULT
20,FICTION,OSKALOOSA,CHILDRENS
2,FICTION,OSKALOOSA,YOUNGADULT
2,LARGEPRINT,OSKALOOSA,ADULT
1,MUSIC,OSKALOOSA,ADULT
1,NEW,OSKALOOSA,CHILDRENS
9,NONFICTION,OSKALOOSA,ADULT
1,NONFICTION,OSKALOOSA,CATALOGING
44,NONFICTION,OSKALOOSA,CHILDRENS
18,READER,OSKALOOSA,CHILDRENS
12,,OTTAWA,
13,BOOKONCD,OTTAWA,ADULT
5,BOOKONCD,OTTAWA,CHILDRENS
