branchname,"COLLECTION CODE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Baldwin City Public Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Baldwin City Public Library","Sports & Recreation",,,,,,,,,,,,
"Baldwin City Public Library",VG--Videogame,4,1,,3,,,,,,,,
"Baldwin City Public Library",VG-Gameboy,,,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo 3DS",,,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo DS",,,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo Gamecube",,,,,,,,,,,,
"Baldwin City Public Library","VG-Nintendo Switch",2,,,2,1,,,1,,,,
"Baldwin City Public Library","VG-Nintendo Wii",19,17,,2,,,,,,,,
"Baldwin City Public Library","VG-Nintendo Wii U",7,7,,,,,,,,,,
"Baldwin City Public Library","VG-PlayStation 2 (PS2)",1,1,,,,,,,,,,
"Baldwin City Public Library","VG-PlayStation 3 (PS3)",12,12,,,,,,,,,,
"Baldwin City Public Library","VG-PlayStation 4 (PS4)",,,,,,,,,,,,
"Baldwin City Public Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Baldwin City Public Library","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Baldwin City Public Library",VG-XBox,,,,,,,,,,,,
"Baldwin City Public Library","VG-XBox 360",12,12,,,,,,,,,,
"Baldwin City Public Library","VG-XBox One",2,2,,,,,,,,,,
"Baldwin City Public Library","VG-XBox X",,,,,,,,,,,,
"Baldwin City Public Library","Video (Blu-ray)",163,127,,36,,,,,,,,
"Baldwin City Public Library","Video (Blu-ray/DVD combined edition)",2,1,,1,,,,,,,,
"Baldwin City Public Library","Video (DVD)",2828,2102,5,721,2,2,,,2,,,
"Baldwin City Public Library","Video (media player)",,,,,,,,,,,,
"Baldwin City Public Library","Video (VHS cassette)",,,,,,,,,,,,
"Baldwin City Public Library","Video-TV series (Blu-ray)",1,1,,,,,,,,,,
"Baldwin City Public Library","Video-TV series (Blu-ray/DVD combined edition)",1,1,,,,,,,,,,
"Baldwin City Public Library","Video-TV series (DVD)",119,117,,2,,,,,,,,
"Baldwin City Public Library","Video-TV series (media player)",,,,,,,,,,,,
"Baldwin City Public Library",Western,,,,,,,,,,,,
"Basehor Community Library",(Unclassified),1,,1,,,,,,,,,
"Basehor Community Library","Action & Adventure",,,,,,,,,,,,
"Basehor Community Library","Adult literacy",,,,,,,,,,,,
"Basehor Community Library","African American history and literature",,,,,,,,,,,,
"Basehor Community Library","Archival materials",,,,,,,,,,,,
"Basehor Community Library",Atlas,,,,,,,,,,,,
"Basehor Community Library","Audiobook (cassette)",,,,,,,,,,,,
"Basehor Community Library","Audiobook (CD)",1657,1329,1,327,7,7,,,81,,,
"Basehor Community Library","Audiobook (downloadable)",,,,,,,,,,,,
"Basehor Community Library","Audiobook (media player)",369,180,76,113,,,,,2,,,
"Basehor Community Library","Audiovisual equipment",,,,,,,,,,,,
"Basehor Community Library",Bakeware,,,,,,,,,,,,
"Basehor Community Library","Battle of the books",1,,1,,,,,,,,,
"Basehor Community Library",Bicycle,,,,,,,,,,,,
"Basehor Community Library",Bilingual,,,,,,,,,,,,
"Basehor Community Library",Binder,,,,,,,,,,,,
"Basehor Community Library",Biography,1687,1093,121,473,11,3,,8,2,,,
"Basehor Community Library","Blu-ray player",1,1,,,,,,,,,,
"Basehor Community Library","Board Book",431,1,2,428,11,,,11,3,,,
"Basehor Community Library","Chapter Books",,,,,,,,,,,,
"Basehor Community Library",Classics,,,,,,,,,,,,
"Basehor Community Library","Contemporary Issues",,,,,,,,,,,,
"Basehor Community Library","Downloadable Book",,,,,,,,,,,,
"Basehor Community Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Basehor Community Library","Downloadable Magazine",,,,,,,,,,,,
"Basehor Community Library","Downloadable Movie",,,,,,,,,,,,
"Basehor Community Library","Downloadable Music",,,,,,,,,,,,
"Basehor Community Library","Downloadable TV Show",,,,,,,,,,,,
"Basehor Community Library","Easy Reader",1459,,1,1458,26,,,26,,,,
"Basehor Community Library",Education,,,,,,,,,,,,
"Basehor Community Library",Fiction,21416,11556,4997,4863,151,82,20,49,460,2,,
"Basehor Community Library",Gadget,9,7,2,,,,,,,,,
"Basehor Community Library",Genealogy,,,,,,,,,,,,
"Basehor Community Library","Graphic Novel",5254,143,4114,997,68,1,40,27,236,,,
"Basehor Community Library","Historical ",,,,,,,,,,,,
"Basehor Community Library",Holiday,,,,,,,,,,,,
"Basehor Community Library","Holiday video",,,,,,,,,,,,
"Basehor Community Library",Inspirational,1,,,1,,,,,,,,
"Basehor Community Library","Interlibrary Loan",1,,,1,,,,,,,,
"Basehor Community Library",Kansas,,,,,,,,,,,,
"Basehor Community Library","Kansas notable books",,,,,,,,,,,,
"Basehor Community Library","Large Print",3043,3042,,1,9,9,,,1,,,
"Basehor Community Library","Large Print Non-Fiction",26,25,,1,,,,,,,,
"Basehor Community Library",LGBTQ+,,,,,,,,,,,,
"Basehor Community Library","Lynda.com course",,,,,,,,,,,,
"Basehor Community Library",Magazine,526,360,44,122,32,25,1,6,101,,,
"Basehor Community Library",Map,,,,,,,,,,,,
"Basehor Community Library","McNaughton Fiction",,,,,,,,,,,,
"Basehor Community Library","McNaughton Non-fiction",1,,,1,,,,,,,,
"Basehor Community Library",Miscellaneous,18,2,,16,,,,,,,,
"Basehor Community Library","Music : compact disc",55,1,,54,,,,,45,,,
"Basehor Community Library","Music : record",,,,,,,,,,,,
"Basehor Community Library","Musical instrument : brass instruments",,,,,,,,,,,,
"Basehor Community Library","Musical instrument : drums and percussion",,,,,,,,,,,,
"Basehor Community Library","Musical instrument : misceleaneous",,,,,,,,,,,,
"Basehor Community Library","Musical instrument : stringed instruments",,,,,,,,,,,,
"Basehor Community Library","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Basehor Community Library",Mystery,,,,,,,,,,,,
"Basehor Community Library",Mystery-Cozy,,,,,,,,,,,,
"Basehor Community Library",Non-Fiction,10849,6286,278,4285,93,17,,76,337,4,,1
"Basehor Community Library","On Display",,,,,,,,,,,,
"Basehor Community Library","Online Resource",,,,,,,,,,,,
"Basehor Community Library",Oversize,,,,,,,,,,,,
"Basehor Community Library",Paperback,,,,,,,,,,,,
"Basehor Community Library",Parenting,,,,,,,,,,,,
"Basehor Community Library","Periodical - Comic books",,,,,,,,,,,,
"Basehor Community Library","Picture Book",6741,,3,6738,41,,,41,3,,,
"Basehor Community Library","Professional Collection",1,1,,,,,,,,,,
"Basehor Community Library","Public Computer",1,1,,,,,,,,,,
"Basehor Community Library","Puzzles & Board Games",26,25,,1,,,,,5,,,
"Basehor Community Library","Read and listen - easy reader",,,,,,,,,,,,
"Basehor Community Library","Read and listen - fiction",3,,,3,,,,,,,,
"Basehor Community Library","Read and listen - non-fiction",2,,,2,,,,,,,,
"Basehor Community Library","Read and listen - picture book",97,,,97,,,,,,,,
"Basehor Community Library","Record player",,,,,,,,,,,,
"Basehor Community Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : basketball equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : fishing equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : football equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Basehor Community Library","Recreation : tennis equipment",,,,,,,,,,,,
"Basehor Community Library",Reference,,,,,,,,,,,,
"Basehor Community Library",Romance,,,,,,,,,,,,
"Basehor Community Library","Sci Fi-Fantasy",,,,,,,,,,,,
"Basehor Community Library",Software,,,,,,,,,,,,
"Basehor Community Library",Spanish,,,,,,,,,,,,
"Basehor Community Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Basehor Community Library","Sports & Recreation",,,,,,,,,,,,
"Basehor Community Library",VG--Videogame,1,,1,,,,,,,,,
"Basehor Community Library",VG-Gameboy,,,,,,,,,,,,
"Basehor Community Library","VG-Nintendo 3DS",,,,,,,,,,,,
"Basehor Community Library","VG-Nintendo DS",,,,,,,,,,,,
"Basehor Community Library","VG-Nintendo Gamecube",,,,,,,,,,,,
"Basehor Community Library","VG-Nintendo Switch",117,2,31,84,,,,,,,,
"Basehor Community Library","VG-Nintendo Wii",90,,12,78,,,,,,,,
"Basehor Community Library","VG-Nintendo Wii U",7,,3,4,,,,,,,,
"Basehor Community Library","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Basehor Community Library","VG-PlayStation 3 (PS3)",4,1,2,1,,,,,,,,
"Basehor Community Library","VG-PlayStation 4 (PS4)",40,3,26,11,,,,,,,,
"Basehor Community Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Basehor Community Library","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Basehor Community Library",VG-XBox,,,,,,,,,,,,
"Basehor Community Library","VG-XBox 360",26,,18,8,,,,,,,,
"Basehor Community Library","VG-XBox One",25,,19,6,,,,,,,,
"Basehor Community Library","VG-XBox X",,,,,,,,,,,,
"Basehor Community Library","Video (Blu-ray)",334,333,1,,5,5,,,,,,
"Basehor Community Library","Video (Blu-ray/DVD combined edition)",157,137,13,7,,,,,1,,,
"Basehor Community Library","Video (DVD)",6022,5234,17,771,9,9,,,116,,,
"Basehor Community Library","Video (media player)",,,,,,,,,,,,
"Basehor Community Library","Video (VHS cassette)",,,,,,,,,,,,
"Basehor Community Library","Video-TV series (Blu-ray)",21,17,4,,,,,,,,,
"Basehor Community Library","Video-TV series (Blu-ray/DVD combined edition)",9,3,6,,,,,,,,,
"Basehor Community Library","Video-TV series (DVD)",1185,1160,12,13,2,2,,,58,,,
