CHECK_OUT_LIBRARY,ITEM_TYPE,CKO_REN_ALL,CKO_REN_ADULT,CKO_REN_YA,CKO_REN_CHILD,CKO_REN_OTHER
"Corning City Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Corning City Library","Audiobook (new)",0,0,0,0,0
"Corning City Library",Book,30,10,3,17,0
"Corning City Library","Book (local requests only)",0,0,0,0,0
"Corning City Library","Book (new)",1,1,0,0,0
"Corning City Library","Book (no requests allowed)",0,0,0,0,0
"Corning City Library","Book club set",0,0,0,0,0
"Corning City Library","Computers and internet : Laptop computer",0,0,0,0,0
"Corning City Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Corning City Library","Computers and internet : Public computer",0,0,0,0,0
"Corning City Library","Computers and internet : Software",0,0,0,0,0
"Corning City Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Corning City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",0,0,0,0,0
"Corning City Library","E-content : Digital content",0,0,0,0,0
"Corning City Library","E-content : E-learning course",0,0,0,0,0
"Corning City Library","Inter-library loan",0,0,0,0,0
"Corning City Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Corning City Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Corning City Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Corning City Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Corning City Library",Key,0,0,0,0,0
"Corning City Library","Kit or multi-part set",0,0,0,0,0
"Corning City Library",MAGAZINE,0,0,0,0,0
"Corning City Library","Magazine (new)",0,0,0,0,0
"Corning City Library",Music,0,0,0,0,0
